on,A565_volume,A565_principal_axis,A565_sphericity,A565_CND_number,A565_CND_mean_volume,overlap_fraction,distance
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_42,0.2192,1.434643176,0.606507391,5,0.03672,0.201498127,0.15189354
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_43,0.1066,1.208741229,0.719272334,4,0.0226,0.132281553,0.187186944
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_44,0.1754,1.519811291,0.57011363,5,0.02752,0.026450512,0.412238289
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_45,0.141,1.326721715,0.647516166,5,0.02416,0.144677661,0.207761995
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_46,0.1792,1.363561509,0.610046377,5,0.03076,0.109090909,0.161026226
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_5,0.1894,1.336992908,0.618614536,5,0.03312,0.167,0.243966707
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_6,0.1106,1.062575446,0.682699818,3,0.032933333,0,0.688318972
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_7,0.2164,1.310094455,0.622418832,5,0.03516,0.190023753,0.290288718
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_8,0.0848,0.997966237,0.686808328,2,0.0371,0.084173387,0.20164498
20191026_RI512_CTCF-AID_AUX_103_101_SIR_2C_ALN_THR_9,0.208,1.395501246,0.578906117,8,0.022175,0.218973747,0.311229367
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_10,0.0746,0.884548999,0.793967324,2,0.0346,0.146169355,0.306248224
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_11,0.0584,1.023379978,0.739213072,2,0.0289,0.099075297,0.292329819
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_12,0.0592,0.837261122,0.809345893,2,0.0276,0.01867995,0.37552899
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_13,0.0776,1.033916503,0.762364023,2,0.0366,0.072985782,0.372159997
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_14,0.1042,1.013993077,0.746604722,3,0.029466667,0.078288943,0.433846045
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_15,0.1124,1.272843591,0.629146357,3,0.033333333,0.165733483,0.325367359
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_16,0.0998,1.034951919,0.741951961,3,0.026866667,0.207392197,0.308361368
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_17,0.0702,1.048123761,0.736199075,3,0.021133333,0.261011419,0.07705403
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_18,0.0824,1.164057007,0.682252132,3,0.024133333,0.155057541,0.365985648
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_19,0.0706,0.843291203,0.786393629,1,0.0706,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_1,0.0508,0.780421831,0.834352168,2,0.0185,0.054484493,0.410878499
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_20,0.1596,1.697353729,0.534012505,6,0.022366667,0.145121951,0.116970866
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_21,0.044,0.729555794,0.896278506,1,0.044,0.148393195,0.127111983
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_22,0.0806,0.863825946,0.803078806,2,0.0368,0.095022624,0.387651757
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_24,0.094,0.992483401,0.755295179,2,0.0437,0.142214221,0.42644915
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_25,0.067,0.89402557,0.740516657,2,0.0308,0,0.984698695
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_27,0.096,1.304271346,0.640034147,4,0.0193,0,2.077451701
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_28,0.0562,0.840298453,0.775336412,2,0.0265,0.18875502,0.168059398
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_29,0.0506,0.838424351,0.854294716,2,0.0231,0.099264706,0.48224101
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_2,0.058,0.86656334,0.851778865,1,0.058,0.161434978,0.431561791
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_30,0.083,1.030221469,0.772926555,2,0.0388,0.231197772,0.383736054
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_31,0.044,0.738743797,0.808232091,1,0.044,0,0.812840404
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_32,0.0604,0.807828648,0.851574444,1,0.0604,0,0.493540892
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_33,0.1006,1.054898835,0.740999666,3,0.030133333,0.119241192,0.204676503
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_34,0.0666,0.905544665,0.859312297,1,0.0666,0.105446118,0.23471912
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_35,0.087,1.018225799,0.737621569,2,0.0387,0.081001473,0.340312865
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_36,0.0682,0.865928933,0.800740113,2,0.031,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_37,0.1458,1.309343271,0.5885032,4,0.0336,0.179198876,0.284889784
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_38,0.1834,1.379305577,0.568336567,4,0.0382,0.201388889,0.18846821
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_39,0.1368,1.206022308,0.629719668,3,0.041666667,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_3,0.0672,0.860489567,0.798404665,1,0.0672,0.1112,0.499438409
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_40,0.0672,0.868854034,0.763941292,1,0.059,0.03803681,0.574877513
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_41,0.1622,1.394266974,0.598030374,5,0.02872,0.111484423,0.44466117
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_42,0.0938,1.032160464,0.727692513,2,0.0411,0.131690739,0.21462122
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_43,0.0812,1.089089634,0.734290799,2,0.0398,0.055729493,0.693377971
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_44,0.1058,1.077534044,0.728607338,3,0.031866667,0.14781966,0.264479085
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_45,0.1188,1.217547008,0.603663322,4,0.02835,0.161341853,0.315220557
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_46,0.093,1.121882604,0.727576825,4,0.0183,0.236976507,0.294699014
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_47,0.0474,0.755035041,0.888642843,1,0.0474,0.097613883,0.240906594
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_48,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_49,0.1028,1.244166133,0.637598014,3,0.032933333,0.151943463,0.142862537
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_50,0.1334,1.192251636,0.651945515,3,0.039533333,0.129390018,0.257844022
20190721_RI512_CTCF-AID_AUX_102a_102b_SIR_2C_ALN_THR_51,0.0734,0.899694473,0.779299771,2,0.0338,0.164203612,0.240551424
