Image Name,Channel ID,roi_type,label,area,filled_area,major_axis_length,centroid-0,centroid-1,centroid-2,weighted_centroid-0,weighted_centroid-1,weighted_centroid-2,equivalent_diameter,max_intensity,mean_intensity,min_intensity,sphericity,solidity,volume,volume_units,overlap_fraction,distance_x,distance_y,distance_z,distance3d,distance_units,Roi Name
20190729_RI512_CTCF-AID_AUX-CTL_82a_82b_SIR_2C_ALN_THR_35.ome.tiff,0.0,domain,1.0,992.0,992.0,15.270919291946049,41.363911290322584,25.76108870967742,24.100806451612904,41.578985925465766,25.688541319877565,24.057219123091897,12.373835836621545,22514.0,10979.421370967742,5975.0,0.7132531001531673,0.8117839607201309,0.19840000000000002,micron^3,,,,,,,ch-0_domain_label-1
20190729_RI512_CTCF-AID_AUX-CTL_82a_82b_SIR_2C_ALN_THR_35.ome.tiff,0.0,subdomain,2.0,992.0,992.0,15.270919291946049,41.363911290322584,25.76108870967742,24.100806451612904,41.578985925465766,25.688541319877565,24.057219123091897,,22514.0,10979.421370967742,5975.0,,,0.19840000000000002,micron^3,,,,,,,ch-0_subdomain_label-2
20190729_RI512_CTCF-AID_AUX-CTL_82a_82b_SIR_2C_ALN_THR_35.ome.tiff,1.0,domain,1.0,218.0,218.0,12.141917948653578,44.440366972477065,26.729357798165136,25.954128440366972,44.41982019852247,26.650104136686892,25.81336835424995,7.467111284036796,44103.0,20209.853211009173,8921.0,0.749275401991164,0.8044280442804428,0.0436,micron^3,,,,,,,ch-1_domain_label-1
20190729_RI512_CTCF-AID_AUX-CTL_82a_82b_SIR_2C_ALN_THR_35.ome.tiff,1.0,subdomain,2.0,218.0,218.0,12.141917948653578,44.440366972477065,26.729357798165136,25.954128440366972,44.41982019852247,26.650104136686892,25.81336835424995,,44103.0,20209.853211009173,8921.0,,,0.0436,micron^3,,,,,,,ch-1_subdomain_label-2
20190729_RI512_CTCF-AID_AUX-CTL_82a_82b_SIR_2C_ALN_THR_35.ome.tiff,,overlap,1.0,156.0,156.0,,44.26282051282051,26.564102564102566,25.30128205128205,,,,,,,,,,0.031200000000000002,micron^3,0.14800759013282733,0.07024596924632207,0.038462512672373064,0.3551042841320884,0.3640232323429243,micron,overlap_label-1
20190728_RI512_CTCF-AID_AUX-CTL_82a_81_SIR_2C_ALN_THR_3.ome.tiff,0.0,domain,1.0,1248.0,1248.0,20.038912189426544,14.225961538461538,27.13221153846154,24.630608974358974,14.38849146172671,27.20508392550331,24.556390153597334,13.35791434609675,45061.0,22231.11137820513,11393.0,0.698261622544622,0.7670559311616472,0.24960000000000002,micron^3,,,,,,,ch-0_domain_label-1
20190728_RI512_CTCF-AID_AUX-CTL_82a_81_SIR_2C_ALN_THR_3.ome.tiff,0.0,subdomain,2.0,924.0,924.0,15.082608807797952,13.9512987012987,25.245670995670995,24.523809523809526,14.136563179634853,25.413008806058066,24.433384606331263,,45061.0,22510.575757575756,11697.0,,,0.18480000000000002,micron^3,,,,,,,ch-0_subdomain_label-2
20190728_RI512_CTCF-AID_AUX-CTL_82a_81_SIR_2C_ALN_THR_3.ome.tiff,0.0,subdomain,3.0,313.0,313.0,12.42238254895919,14.849840255591054,32.91373801916933,24.74121405750799,15.045222854651485,32.82753811490678,24.802062135794856,,43676.0,21705.217252396167,11393.0,,,0.0626,micron^3,,,,,,,ch-0_subdomain_label-3
20190728_RI512_CTCF-AID_AUX-CTL_82a_81_SIR_2C_ALN_THR_3.ome.tiff,1.0,domain,1.0,432.0,432.0,16.728752631230037,14.907407407407407,29.921296296296298,28.935185185185187,15.134887746269765,29.738919318345946,29.139969553052183,9.379111701561264,57080.0,20145.849537037036,9326.0,0.547167961289215,0.7081967213114754,0.0864,micron^3,,,,,,,ch-1_domain_label-1
20190728_RI512_CTCF-AID_AUX-CTL_82a_81_SIR_2C_ALN_THR_3.ome.tiff,1.0,subdomain,2.0,102.0,102.0,8.964133104511411,12.892156862745098,35.09803921568628,28.07843137254902,12.881156544454392,35.140876944667035,28.106381211029145,,27235.0,16284.480392156862,9927.0,,,0.0204,micron^3,,,,,,,ch-1_subdomain_label-2
